articleId,productCode
108775015,108775
108775044,108775
110065001,110065
111565001,111565
111586001,111586
111593001,111593
111609001,111609
118458004,118458
118458029,118458
120129001,120129
120129014,120129
123173001,123173
129085001,129085
129085026,129085
129085027,129085
130035001,130035
146706001,146706
146721002,146721
148033001,148033
153115019,153115
153115020,153115
153115039,153115
156227001,156227
156231001,156231
158340001,158340
160442007,160442
160442010,160442
160442043,160442
176209040,176209
179123001,179123
179208001,179208
179950001,179950
179950017,179950
181448022,181448
181448103,181448
181448109,181448
182909001,182909
186262001,186262
186262006,186262
186266004,186266
186267001,186267
186372011,186372
186372045,186372
188183001,188183
188183015,188183
188183016,188183
188183021,188183
188183022,188183
189616001,189616
189616006,189616
189616007,189616
189616008,189616
189616014,189616
189616028,189616
189616038,189616
189626001,189626
189634001,189634
189654001,189654
190021021,190021
194037001,194037
198714001,198714
200182001,200182
201219001,201219
201219003,201219
205225001,205225
212629004,212629
212629035,212629
212629040,212629
212629043,212629
212629048,212629
212629051,212629
212766045,212766
214844001,214844
214844002,214844
214844003,214844
215303001,215303
215303002,215303
215589002,215589
216081011,216081
217727002,217727
217727003,217727
218829002,218829
219075014,219075
219075021,219075
220094001,220094
220094010,220094
220094011,220094
220094015,220094
224606019,224606
224606031,224606
225784001,225784
228257001,228257
228257005,228257
234421001,234421
234432002,234432
237347004,237347
237347040,237347
237347045,237347
237347052,237347
237347053,237347
240561001,240561
241412038,241412
243937001,243937
243937024,243937
244267027,244267
244267032,244267
251510001,251510
252298002,252298
252298006,252298
252298014,252298
253176016,253176
253448001,253448
253448002,253448
253448003,253448
254940026,254940
256151015,256151
258650001,258650
264984001,264984
265630004,265630
265630006,265630
266875001,266875
266875006,266875
266875024,266875
270375001,270375
270375004,270375
270375006,270375
270381001,270381
270381007,270381
278811002,278811
278811006,278811
278811007,278811
282832015,282832
293433026,293433
293510001,293510
293510009,293510
294008002,294008
294008050,294008
294008056,294008
294076007,294076
296476012,296476
297067002,297067
297078001,297078
297078002,297078
299768002,299768
300024006,300024
300024013,300024
300024016,300024
300024042,300024
300908004,300908
301227002,301227
301656013,301656
301656017,301656
301656018,301656
301656026,301656
304778011,304778
304786006,304786
305304008,305304
305304010,305304
305775003,305775
305931001,305931
307239004,307239
307239005,307239
307656020,307656
309864002,309864
309864013,309864
312543001,312543
312878001,312878
315509024,315509
315795001,315795
316085001,316085
316085002,316085
316441001,316441
316441011,316441
316441024,316441
316441025,316441
316441036,316441
316441038,316441
318035018,318035
318066004,318066
318066014,318066
318951024,318951
322017003,322017
322322012,322322
324502001,324502
324946001,324946
324963007,324963
324963030,324963
325087002,325087
325087043,325087
325542015,325542
327310002,327310
327821034,327821
333323030,333323
337777004,337777
337991002,337991
338400001,338400
341242001,341242
341242009,341242
341242019,341242
341452001,341452
341782018,341782
341782022,341782
341782032,341782
341782043,341782
342060001,342060
344956009,344956
345922004,345922
347200001,347200
347975001,347975
348330027,348330
349080001,349080
349301001,349301
349301030,349301
350911002,350911
351462009,351462
351484002,351484
351484026,351484
351484027,351484
351484033,351484
351484034,351484
351484039,351484
351484041,351484
351484042,351484
351933029,351933
351933051,351933
351933052,351933
355072001,355072
355072002,355072
355307053,355307
355569001,355569
355569002,355569
355569005,355569
355569011,355569
355569043,355569
356289005,356289
356289075,356289
357751003,357751
357792003,357792
358483007,358483
359504016,359504
365439058,365439
368038011,368038
369796004,369796
369796007,369796
369796027,369796
369796032,369796
370594021,370594
372008001,372008
372860001,372860
372860002,372860
372860024,372860
372860041,372860
372860051,372860
372860068,372860
372860069,372860
373506001,373506
373506004,373506
373506008,373506
373506026,373506
375585027,375585
376172001,376172
377277001,377277
377277018,377277
377277036,377277
377277037,377277
377436002,377436
378135028,378135
378135033,378135
378135034,378135
378447002,378447
378447034,378447
378447036,378447
381038018,381038
381038026,381038
383152002,383152
383152003,383152
383569009,383569
384851013,384851
386463014,386463
386678001,386678
386681018,386681
387348020,387348
390512018,390512
392220001,392220
392269011,392269
392269014,392269
392938035,392938
393447016,393447
393772021,393772
395127011,395127
395575001,395575
395575002,395575
395658031,395658
395658035,395658
396135007,396135
396135008,396135
396135048,396135
396135049,396135
397068001,397068
397068014,397068
397068015,397068
397688006,397688
398074048,398074
399061008,399061
399061011,399061
399061015,399061
399061023,399061
399061028,399061
399061032,399061
399087001,399087
399087010,399087
399087011,399087
399087014,399087
399087015,399087
399087017,399087
399087028,399087
399087029,399087
399087030,399087
399087040,399087
399087051,399087
399136004,399136
399136009,399136
399136011,399136
399136023,399136
399136027,399136
399136033,399136
399136053,399136
399136061,399136
399136073,399136
399201002,399201
399201005,399201
399201011,399201
399201018,399201
399201022,399201
399201023,399201
399201024,399201
399201026,399201
399201042,399201
399223001,399223
399223024,399223
399223028,399223
399223029,399223
399223033,399223
399223034,399223
399223035,399223
399223052,399223
399223068,399223
399256001,399256
399256003,399256
399256005,399256
399256009,399256
399256013,399256
399256018,399256
399256019,399256
399256023,399256
399256030,399256
399256032,399256
399256037,399256
400285006,400285
400285011,400285
400319005,400319
400342003,400342
400456001,400456
400901004,400901
401044004,401044
401044012,401044
401044019,401044
401044031,401044
401044032,401044
403448007,403448
403490011,403490
403490012,403490
405887035,405887
405887037,405887
406724002,406724
407653001,407653
407653002,407653
407663008,407663
408104012,408104
408649007,408649
408664009,408664
408664010,408664
408875001,408875
408875002,408875
408875017,408875
408875018,408875
408875019,408875
408875021,408875
408875030,408875
410549007,410549
411413001,411413
411569001,411569
412031001,412031
413707001,413707
413707022,413707
413707031,413707
414102001,414102
414102002,414102
416157003,416157
417088006,417088
417951001,417951
417951005,417951
424468004,424468
425217006,425217
426013023,426013
426013024,426013
426019007,426019
426199002,426199
426199021,426199
426541040,426541
427159006,427159
428071011,428071
428291001,428291
